No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area
5963,57.0,50.0,35.0,0.4982588456593171,0.4980237154150198,2850.0,3848.4510006474966

5039,61.0,57.0,38.5,0.4703263366222209,0.4701298701298701,3477.0,4656.625710783471

3683,95.0,84.0,62.0,0.3030917145819587,0.3025859537636957,7980.0,12076.282160399165

4245,101.0,92.0,66.5,0.30972222222222223,0.30931343577620174,9292.0,13892.908112337464

4074,103.0,98.0,67.0,0.31027245366703626,0.3102513163475846,10094.0,14102.60942196458

5594,105.5,96.0,68.5,0.3135850429215772,0.31333333333333335,10128.0,14741.138128806708

4447,97.0,88.0,65.0,0.31850671452441365,0.3170658572622068,8536.0,13273.228961416875

3913,102.0,88.0,67.0,0.316352063213345,0.31591217011204176,8976.0,14102.60942196458

3759,105.0,88.0,69.0,0.3148441111881646,0.31473214285714285,9240.0,14957.122623741005

6539,97.0,87.0,63.0,0.3377157767964673,0.3376848326480585,8439.0,12468.981242097889

6078,97.0,81.0,63.0,0.333984375,0.3339027226170569,7857.0,12468.981242097889

6263,101.0,82.0,67.0,0.33113019818063677,0.3307017543859649,8282.0,14102.60942196458

7621,102.0,84.0,66.0,0.33830311704834604,0.3378269316585014,8568.0,13684.77759903714

5073,99.0,88.0,65.0,0.3284690702152534,0.3273960983884648,8712.0,13273.228961416875

5114,100.5,84.5,66.0,0.32920793246557256,0.32892025089605736,8492.25,13684.77759903714

802,330.0,313.0,252.0,0.14237516869095818,0.16104430284976007,103290.0,199503.69987356622

