No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area
5211,68.0,87.0,59.0,0.38376646493414024,0.38344167402551166,5916.0,10935.88402714607

8243,70.0,75.0,57.0,0.4004263322817973,0.3997036699338956,5250.0,10207.034531513238

8056,65.0,75.0,53.0,0.4083333333333333,0.4079142947501581,4875.0,8824.73376393373

5491,63.5,79.0,57.5,0.3999046153732406,0.39984621299500195,5016.5,10386.890710931255

5433,68.0,81.5,60.0,0.3981088914897419,0.39805162571357655,5542.0,11309.733552923255

6009,58.0,68.0,49.0,0.4221962469225375,0.4219901552854151,3944.0,7542.963961269093

5235,53.0,75.0,51.0,0.4287330316742081,0.4281914006297308,3975.0,8171.282491987052

10624,69.0,84.0,64.0,0.41746006971541544,0.4172085482142699,5796.0,12867.963509103793

7524,61.0,76.5,57.0,0.40037284144427,0.4,4666.5,10207.034531513238

6542,57.0,79.0,59.0,0.4348958333333333,0.4348513719512195,4503.0,10935.88402714607

6052,54.0,79.5,53.0,0.4250457306668487,0.42346938775510207,4293.0,8824.73376393373

5910,69.0,70.5,41.0,0.5028668123502071,0.5016190756549896,4864.5,5281.017250684442

2350,79.0,78.0,52.5,0.3193088301447434,0.3188034188034188,6162.0,8659.014751456867

1218,81.0,85.0,52.0,0.3184022165781575,0.31737679143986974,6885.0,8494.8665353068

1048,83.0,87.0,57.0,0.2960525605415227,0.29643750744668174,7221.0,10207.034531513238

1449,76.0,83.0,51.5,0.3196571780465137,0.32175066312997347,6308.0,8332.289115483529

1880,72.0,79.0,49.0,0.33069828722002637,0.3309152779261475,5688.0,7542.963961269093

3060,75.0,82.0,52.0,0.3286544523246651,0.32842259783133676,6150.0,8494.8665353068

1625,69.0,81.0,51.0,0.3254166666666667,0.32529891304347824,5589.0,8171.282491987052

4671,71.0,72.0,48.0,0.33318815331010454,0.33303869028276445,5112.0,7238.229473870883

4080,69.0,70.0,46.0,0.34907277544023685,0.34903351415690004,4830.0,6647.610054996002

1910,77.0,80.0,49.0,0.33199834293259245,0.3312203669346526,6160.0,7542.963961269093

1120,71.0,80.5,49.0,0.3477785865687438,0.34532760472610097,5715.5,7542.963961269093

2435,66.0,70.0,44.0,0.3364984174579377,0.33660858372896885,4620.0,6082.123377349839

4076,70.0,75.0,47.0,0.33255385487528344,0.33209717982299103,5250.0,6939.778171779853

2065,70.0,76.0,48.0,0.3665043314586357,0.36508413461538464,5320.0,7238.229473870883

1902,89.0,74.0,57.0,0.3168934240362812,0.3168049897063745,6586.0,10207.034531513238

1466,86.0,69.5,53.0,0.3228906110324151,0.3218604651162791,5977.0,8824.73376393373

1496,88.0,68.0,56.0,0.32111348346291746,0.3210411707972027,5984.0,9852.03456165759

1368,91.0,71.0,58.5,0.36645819920904993,0.36576777035074287,6461.0,10751.31545874767

1435,86.0,67.0,57.0,0.35380077149988653,0.35358068966578193,5762.0,10207.034531513238

3162,85.0,70.0,56.5,0.359199436203783,0.35942760942760943,5950.0,10028.749148422017

2413,85.0,73.0,55.0,0.3493508835196538,0.34931213835718045,6205.0,9503.317777109125

2524,87.0,67.0,56.0,0.33505091700967987,0.3349369988545246,5829.0,9852.03456165759

2633,85.5,75.0,62.0,0.3209914082970732,0.3214886305476347,6412.5,12076.282160399165

2302,87.0,72.0,62.0,0.3351198197583123,0.3348654958594409,6264.0,12076.282160399165

2244,85.5,73.5,62.0,0.3417570409381108,0.3412844036697248,6284.25,12076.282160399165

2130,90.5,80.0,68.0,0.32232687282229966,0.3223214285714286,7240.0,14526.724430199205

1806,90.0,79.0,63.0,0.3141089460958612,0.312811512705899,7110.0,12468.981242097889

3671,93.0,87.5,64.5,0.3136312171994602,0.31355852685901947,8137.5,13069.810837096937

2206,68.5,61.0,50.0,0.4137351153645189,0.4137254901960784,4178.5,7853.981633974483

2508,69.5,56.0,54.0,0.43470588235294116,0.43444444444444447,3892.0,9160.884177867836

2324,63.0,59.0,50.0,0.4221664275466284,0.4219703105475078,3717.0,7853.981633974483

2890,57.0,45.0,41.0,0.4488731448452019,0.44867221561632975,2565.0,5281.017250684442

2789,62.0,47.0,45.5,0.43616442085204843,0.43569584678966056,2914.0,6503.882191094269

4066,54.0,43.0,46.0,0.45870535714285715,0.4586119378306878,2322.0,6647.610054996002

4268,60.0,49.0,46.0,0.4709968785878301,0.46983830845771146,2940.0,6647.610054996002

4116,54.0,43.0,39.0,0.4509043927648579,0.45045219638242895,2322.0,4778.362426110075

4002,52.0,44.5,42.0,0.4410239637321218,0.4405393457117595,2314.0,5541.769440932396

3111,55.0,48.0,41.5,0.45029682960717443,0.4500442086648983,2640.0,5410.607947645021

3449,59.0,52.0,45.5,0.4396825396825397,0.4385509472606247,3068.0,6503.882191094269

3348,54.0,48.0,49.5,0.43010752688172044,0.42990112699312666,2592.0,7697.687399458391

3090,55.5,47.0,47.0,0.4205417912314464,0.4204984204984205,2608.5,6939.778171779853

1251,59.0,48.5,49.0,0.4196818479058343,0.4159941305942773,2861.5,7542.963961269093

5447,54.0,75.0,65.0,0.4054466230936819,0.40260967518320456,4050.0,13273.228961416875

5444,52.0,76.0,61.0,0.3765378960020315,0.3757736516357206,3952.0,11689.86626400762

5863,50.0,60.0,51.0,0.4065934065934066,0.40538003663003663,3000.0,8171.282491987052

6076,50.0,56.0,45.0,0.4057142857142857,0.405703125,2800.0,6361.725123519332

6586,51.0,58.5,43.0,0.426331128329468,0.42476851851851855,2983.5,5808.804816487527

9314,48.0,55.0,39.0,0.40441176470588236,0.4043960532931121,2640.0,4778.362426110075

9610,49.0,61.0,43.0,0.38917033478993956,0.3890632803024898,2989.0,5808.804816487527

9639,54.0,64.0,49.0,0.40727489564698865,0.4063542712299729,3456.0,7542.963961269093

9596,53.0,60.5,47.5,0.3837295367467781,0.38362068965517243,3206.5,7088.218424661971

7715,47.5,60.0,44.0,0.3889545382600938,0.38863168724279834,2850.0,6082.123377349839

6646,52.0,64.0,44.0,0.39903846153846156,0.398357311728751,3328.0,6082.123377349839

